,PCs,Importance
1,PC8,0.011348677397247453
2,PC1,0.011337149727844791
3,PC2,0.01111320605981655
4,PC6,0.011091257442230858
5,PC97,0.011008732705513401
6,PC5,0.010731807288571215
7,PC11,0.010700471547081513
8,PC13,0.010644214403856258
9,PC99,0.010629172751060716
10,PC18,0.010608719090028331
11,PC7,0.010581245138621978
12,PC89,0.010518613915338697
13,PC4,0.010511707527329486
14,PC87,0.01046140681174814
15,PC68,0.010399642738781911
16,PC57,0.010347392437490341
17,PC16,0.010333775255455233
18,PC10,0.010312890854197622
19,PC43,0.010303246988798984
20,PC12,0.010285193004999558
21,PC19,0.01026836868566114
22,PC38,0.010230961884134127
23,PC15,0.010228618526922226
24,PC23,0.010209215332083578
25,PC30,0.010205581529153136
26,PC74,0.010196934452753697
27,PC26,0.010185980348121461
28,PC14,0.010175962671363859
29,PC20,0.010169256889513454
30,PC44,0.010143769316971222
31,PC47,0.010134678038556975
32,PC36,0.010111466245914193
33,PC39,0.010105853703751657
34,PC90,0.010080249222523619
35,PC28,0.010063675643587908
36,PC17,0.010059556991587117
37,PC32,0.010057971442750915
38,PC3,0.010047815559355444
39,PC62,0.010045280628294968
40,PC25,0.010038797140508551
41,PC9,0.010030160528100265
42,PC95,0.010000547842048521
43,PC21,0.009975005104099927
44,PC31,0.009972105284352582
45,PC84,0.00997024518129954
46,PC42,0.009955230245518882
47,PC93,0.009954748969967628
48,PC94,0.009944941381447046
49,PC55,0.009934595893553364
50,PC92,0.009920927514510106
51,PC80,0.00990646184956725
52,PC71,0.009906001713469413
53,PC53,0.009893930084469718
54,PC33,0.009866065944659557
55,PC49,0.00986356233328612
56,PC83,0.009854913785020703
57,PC75,0.009840912595332386
58,PC24,0.009836064931387042
59,PC81,0.009833678973556761
60,PC77,0.009825862190960249
61,PC98,0.009822585217141829
62,PC27,0.009810547880158798
63,PC63,0.00980785866545759
64,PC51,0.009795505283419097
65,PC35,0.009792930339923879
66,PC48,0.00978972508357826
67,PC50,0.009788915606817739
68,PC91,0.009787795685656863
69,PC61,0.009774431203788018
70,PC59,0.009771035824202117
71,PC69,0.0097612204478755
72,PC54,0.009756075733492795
73,PC66,0.009751371150239056
74,PC37,0.009734567183262538
75,PC41,0.00973319520081709
76,PC78,0.009726496921759697
77,PC82,0.009718792113471729
78,PC29,0.009698017304825618
79,PC96,0.009656242767240013
80,PC86,0.009647003204709813
81,PC70,0.009639893999236487
82,PC73,0.00962185867990007
83,PC79,0.009615985599091024
84,PC88,0.0096097731227787
85,PC100,0.009606986677224559
86,PC40,0.009602963589697871
87,PC64,0.009602014613232563
88,PC65,0.009583357021555432
89,PC72,0.009569597205183824
90,PC22,0.00956213567686305
91,PC58,0.009551160994279422
92,PC46,0.009533752126217845
93,PC45,0.009485440493458303
94,PC56,0.009476936187232504
95,PC76,0.009469129923256644
96,PC34,0.009462716574181865
97,PC60,0.009450937003857287
98,PC52,0.009374741465176355
99,PC85,0.009371180928621537
100,PC67,0.009370645614987261
