,PCs,Importance
1,PC8,0.011316774860243375
2,PC1,0.011240247524307032
3,PC6,0.011159098096990682
4,PC13,0.011158198537234543
5,PC11,0.011094760989156372
6,PC7,0.010989549970661736
7,PC25,0.010781874864054958
8,PC2,0.01074664054508173
9,PC4,0.010691529626087364
10,PC29,0.010531103562410498
11,PC80,0.010481941311010214
12,PC27,0.010432195018869654
13,PC91,0.01040389854455771
14,PC32,0.010392358041959355
15,PC15,0.010387600224421121
16,PC9,0.010385305290733211
17,PC67,0.010374180031035232
18,PC19,0.01035638438430442
19,PC26,0.010334805897224688
20,PC14,0.010323516973024973
21,PC17,0.010320401883423497
22,PC72,0.010303329579839355
23,PC53,0.010249153979797823
24,PC21,0.0102262326294564
25,PC34,0.010189652205348001
26,PC10,0.010166285752394777
27,PC24,0.010158411778177794
28,PC3,0.010156357456046898
29,PC97,0.010125739846819219
30,PC20,0.010121599112042412
31,PC45,0.01010121038750667
32,PC12,0.010083652665799742
33,PC5,0.01007662665041998
34,PC88,0.010043617369397724
35,PC39,0.010033898843126532
36,PC54,0.010028974698557631
37,PC60,0.010015736553733895
38,PC65,0.010015523714035105
39,PC74,0.010014756453144275
40,PC35,0.009995194199502835
41,PC75,0.009994345796045266
42,PC69,0.009948107923005076
43,PC40,0.009945111534456609
44,PC49,0.009940981204519026
45,PC38,0.009922472393972998
46,PC43,0.00991786774936592
47,PC98,0.009914139540346695
48,PC22,0.00991326390220451
49,PC18,0.009912060536946597
50,PC96,0.009909762939168782
51,PC79,0.00990158761471527
52,PC92,0.009889708822009567
53,PC78,0.009885955635757155
54,PC16,0.00987741698146131
55,PC89,0.009872255693554412
56,PC94,0.0098700248352299
57,PC46,0.009865285657994431
58,PC76,0.00986378768524528
59,PC56,0.00986221724303371
60,PC51,0.009854637808904596
61,PC31,0.00984061971879967
62,PC71,0.009827555418162985
63,PC42,0.009816778972592404
64,PC81,0.009809175651475767
65,PC44,0.009799086764054893
66,PC23,0.009793719635747166
67,PC58,0.009793227070459066
68,PC63,0.0097665609773427
69,PC36,0.00975828706879864
70,PC95,0.009752444251553584
71,PC37,0.009744124790678443
72,PC41,0.009739610636093994
73,PC85,0.009734360168616124
74,PC28,0.009727596114813154
75,PC66,0.009724697225953654
76,PC48,0.009722042021414348
77,PC30,0.009719895919171906
78,PC99,0.009694348328860389
79,PC100,0.009685574549109332
80,PC87,0.00968195323837104
81,PC84,0.009670385442251593
82,PC90,0.009655191097221875
83,PC77,0.009654884291616248
84,PC73,0.009649334512751278
85,PC83,0.00964145786607751
86,PC68,0.009639164168114556
87,PC47,0.009635225228578593
88,PC70,0.009589675686138917
89,PC62,0.009569070561401584
90,PC57,0.009546376703219075
91,PC86,0.00954524626561447
92,PC93,0.009541588316211814
93,PC55,0.009484442850502482
94,PC52,0.009463646389980035
95,PC82,0.009452018213246365
96,PC33,0.009444047512673966
97,PC61,0.009440206699537988
98,PC64,0.009418943801613937
99,PC50,0.009392461957427553
100,PC59,0.009365662363874313
