,PCs,Importance
1,PC6,0.07276326274199736
2,PC1,0.07254313360054879
3,PC23,0.04677182919021276
4,PC28,0.033333140296798035
5,PC8,0.02368108464550616
6,PC24,0.021621129588846058
7,PC10,0.020953733628349555
8,PC22,0.019725970153760226
9,PC35,0.019563386660136784
10,PC26,0.019350538951038766
11,PC17,0.019050528663836514
12,PC29,0.018337697494285186
13,PC16,0.01824392776903262
14,PC32,0.018231603009367433
15,PC19,0.01819202336135262
16,PC25,0.01799085765918338
17,PC5,0.01795211384808099
18,PC21,0.01759212072269888
19,PC3,0.017297332095342743
20,PC15,0.017218928267111112
21,PC7,0.01710922766741866
22,PC2,0.017059360287449005
23,PC20,0.016996833844882472
24,PC14,0.0169463714315216
25,PC37,0.016785833906224183
26,PC9,0.016537728547866202
27,PC4,0.01641596545780289
28,PC18,0.01627688060542949
29,PC13,0.016237128098771873
30,PC30,0.016140466630337597
31,PC33,0.015827784398609372
32,PC48,0.015596784507740734
33,PC41,0.01549366110820976
34,PC31,0.015480136003166129
35,PC11,0.015424555831444814
36,PC38,0.015415690744332002
37,PC12,0.015347301520635927
38,PC27,0.015249263128896504
39,PC34,0.015228138632583665
40,PC36,0.015158182115696852
41,PC39,0.015149536427025418
42,PC50,0.01511348249619317
43,PC47,0.01509069638595633
44,PC45,0.014984033952707688
45,PC40,0.014937257067989375
46,PC42,0.014906389111752606
47,PC44,0.014906170719117564
48,PC43,0.014766498594208692
49,PC49,0.014556383966058848
50,PC46,0.014447914462484675
