,ICs,Importance
0,IC6,0.01776928372724225
1,IC65,0.016523762362196756
2,IC16,0.016328839440360003
3,IC24,0.016193052983770183
4,IC42,0.016124768009048256
5,IC28,0.0160089770329337
6,IC63,0.015979567656524044
7,IC60,0.015961787400542316
8,IC11,0.015914429721556732
9,IC26,0.015902432071461758
10,IC15,0.015775468747392062
11,IC1,0.015758897440310757
12,IC21,0.015752459032228657
13,IC31,0.015712740247798857
14,IC32,0.015685954024735625
15,IC38,0.01566268968187438
16,IC14,0.015657774780812827
17,IC22,0.01561440095668019
18,IC9,0.015590201831033025
19,IC8,0.015587033720113417
20,IC62,0.015578011584061531
21,IC7,0.015572040001909492
22,IC40,0.015570781736942785
23,IC36,0.015563931507951777
24,IC29,0.015556261500551257
25,IC56,0.015516348452050844
26,IC41,0.015513328087856684
27,IC35,0.015460817716436983
28,IC55,0.015459763687621924
29,IC3,0.015362885425278559
30,IC10,0.015356458828429738
31,IC52,0.015346139960535047
32,IC54,0.015346122260136217
33,IC57,0.01534521029210748
34,IC45,0.015331378799349064
35,IC23,0.015313195594357856
36,IC48,0.015254602492666122
37,IC51,0.015210343576489194
38,IC59,0.015189667285378213
39,IC47,0.015180037072032028
40,IC64,0.01517959443433434
41,IC20,0.015172964729356331
42,IC39,0.01510827924193575
43,IC44,0.015056159240743694
44,IC2,0.01504049004573731
45,IC34,0.015021300909622403
46,IC61,0.015014130130814976
47,IC37,0.01500026644097263
48,IC4,0.0149956186247252
49,IC27,0.014984886114213234
50,IC25,0.014977015470797854
51,IC12,0.014929244487618825
52,IC17,0.014913151227428399
53,IC18,0.0148974753135044
54,IC50,0.0148923763607307
55,IC13,0.014861242423200088
56,IC33,0.014853878374018916
57,IC30,0.014850847775675935
58,IC19,0.014828450089605802
59,IC53,0.014799592152044462
60,IC46,0.014732512022016864
61,IC58,0.014652963145555399
62,IC43,0.014605128569358986
63,IC5,0.014599877369292906
64,IC49,0.014500708575935977
