,ICs,Importance
0,IC34,0.02201230781890379
1,IC46,0.021342107238136548
2,IC41,0.0213357909139155
3,IC16,0.02094538636252506
4,IC44,0.020744872440047916
5,IC30,0.02074329593546537
6,IC27,0.02066165222748187
7,IC35,0.020634566692570223
8,IC36,0.02061978191750634
9,IC13,0.02054062297854982
10,IC45,0.020513681514886768
11,IC49,0.02050833964390022
12,IC37,0.02046603908749186
13,IC38,0.020291970155287515
14,IC33,0.020275035588819237
15,IC6,0.020251697757290917
16,IC20,0.02015172521524839
17,IC17,0.020042792878678127
18,IC29,0.020026688826173845
19,IC22,0.01996933043018239
20,IC4,0.019926569317922183
21,IC14,0.01992484864445755
22,IC25,0.019863236507574746
23,IC47,0.0198627646422628
24,IC32,0.019854072009333368
25,IC8,0.019852001105886464
26,IC26,0.019839748780218974
27,IC28,0.01978820750273547
28,IC23,0.019778063952814603
29,IC42,0.019770410244919618
30,IC24,0.019739619341831365
31,IC1,0.019735590438225554
32,IC21,0.019721703183379867
33,IC10,0.019719955826658368
34,IC15,0.01971185413898623
35,IC12,0.01969075464005022
36,IC7,0.019640093974081736
37,IC18,0.01962296413398676
38,IC50,0.01953777611387785
39,IC3,0.01946150123749954
40,IC11,0.019446054636684126
41,IC19,0.019421976162311082
42,IC2,0.019395030644935425
43,IC31,0.019361279068504066
44,IC39,0.019341837239552663
45,IC43,0.019294764696199774
46,IC40,0.019253579798865012
47,IC5,0.019235645072848348
48,IC9,0.01912716267624703
49,IC48,0.019003248644087475
